utc,cam,nreq,n403,nok,ncool,nsess,frames,hits,window_s,poll,session,impersonate
2026-09-17 23:59:28,nossob,60,0,60,0,1,25,0,732,10,1,chrome
2026-09-17 23:59:28,talamati,38,38,0,7,1,0,0,732,10,1,chrome
2026-09-17 23:59:28,satara,57,6,51,1,1,20,0,732,10,1,chrome
2026-09-18 00:23:09,nossob,61,1,60,0,1,23,0,722,10,1,chrome
2026-09-18 00:23:09,talamati,60,2,58,0,1,23,0,722,10,1,chrome
2026-09-18 00:23:09,satara,65,9,56,0,1,25,0,722,10,1,chrome
2026-09-18 00:43:23,nossob,44,37,7,6,1,3,0,731,10,1,chrome
2026-09-18 00:43:23,talamati,44,37,7,6,1,4,0,731,10,1,chrome
2026-09-18 00:43:23,satara,44,37,7,6,1,4,0,731,10,1,chrome
2026-09-18 00:59:02,nossob,61,1,60,0,1,23,1,724,10,1,chrome
2026-09-18 00:59:02,talamati,60,2,58,0,1,23,0,724,10,1,chrome
2026-09-18 00:59:02,satara,61,1,60,0,1,24,0,724,10,1,chrome
2026-09-18 01:34:22,nossob,47,37,10,6,1,5,0,722,10,1,chrome
2026-09-18 01:34:22,talamati,59,0,59,0,1,23,0,722,10,1,chrome
2026-09-18 01:34:22,satara,60,6,54,1,1,23,0,722,10,1,chrome
2026-09-18 01:49:27,nossob,56,5,51,1,1,21,3,730,10,1,chrome
2026-09-18 01:49:27,talamati,62,6,56,0,1,25,0,730,10,1,chrome
2026-09-18 01:49:27,satara,44,38,6,6,1,4,0,730,10,1,chrome
2026-09-18 02:03:34,nossob,67,11,56,0,1,23,1,728,10,1,chrome
2026-09-18 02:03:34,talamati,38,38,0,7,1,0,0,728,10,1,chrome
2026-09-18 02:03:34,satara,54,29,25,4,1,12,0,728,10,1,chrome
2026-09-18 02:22:43,nossob,61,12,49,1,1,22,0,729,10,1,chrome
2026-09-18 02:22:43,talamati,47,35,12,6,1,5,0,729,10,1,chrome
