utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-08-31 16:58:55,2026-08-31 18:58:55,nossob,night,15,hits,11,0.017,0,0.15,blank,,0.951,1,2.2,5.6,0.892,0.357,4.0.3a,hits/nossob/20260831/165855_p15_blob11.jpg
2026-08-31 16:59:08,2026-08-31 18:59:08,nossob,night,15,hits,7,0.0412,0,0.15,blank,,0.9492,1,2.2,5.6,0.892,0.357,4.0.3a,hits/nossob/20260831/165908_p15_blob7.jpg
2026-08-31 17:02:10,2026-08-31 19:02:10,nossob,night,11,hits,3,0.1617,1,0.15,blank,,0.9854,4,10.5,2.8,0.867,0.688,4.0.3a,hits/nossob/20260831/170210_p11_blob3.jpg
2026-08-31 17:12:15,2026-08-31 19:12:15,nossob,night,13,hits,6,0.0299,0,0.15,blank,,0.988,3,10.0,6.3,0.948,0.429,4.0.3a,hits/nossob/20260831/171215_p13_blob6.jpg
2026-08-31 17:16:03,2026-08-31 19:16:03,nossob,night,12,hits,17,0.0,0,0.15,blank,,0.8981,0,,,,,4.0.3a,hits/nossob/20260831/171603_p12_blob17.jpg
2026-08-31 17:27:13,2026-08-31 19:27:13,nossob,night,8,hits,4,0.0,0,0.15,blank,,0.9191,0,,,,,4.0.3a,hits/nossob/20260831/172713_p8_blob4.jpg
2026-08-31 17:28:06,2026-08-31 19:28:06,nossob,night,12,hits,6,0.0,0,0.15,blank,,0.9358,0,,,,,4.0.3a,hits/nossob/20260831/172806_p12_blob6.jpg
2026-08-31 17:39:18,2026-08-31 19:39:18,nossob,night,8,hits,6,0.0,0,0.15,blank,,0.9333,0,,,,,4.0.3a,hits/nossob/20260831/173918_p8_blob6.jpg
2026-08-31 17:42:20,2026-08-31 19:42:20,nossob,night,8,hits,4,0.0,0,0.15,blank,,0.9313,0,,,,,4.0.3a,hits/nossob/20260831/174220_p8_blob4.jpg
2026-08-31 17:53:17,2026-08-31 19:53:17,nossob,night,13,hits,10,0.7554,1,0.15,black-backed jackal,mammalia,0.8725,1,9.4,3.9,0.216,0.348,4.0.3a,hits/nossob/20260831/175317_p13_blob10.jpg
2026-08-31 17:53:54,2026-08-31 19:53:54,nossob,night,8,hits,3,0.0106,0,0.15,blank,,0.861,1,5.6,3.3,0.557,0.516,4.0.3a,hits/nossob/20260831/175354_p8_blob3.jpg
2026-08-31 18:05:10,2026-08-31 20:05:10,nossob,night,13,hits,6,0.0105,0,0.15,blank,,0.9496,1,4.1,1.9,0.35,0.401,4.0.3a,hits/nossob/20260831/180510_p13_blob6.jpg
2026-08-31 18:17:58,2026-08-31 20:17:58,nossob,night,15,hits,6,0.019,0,0.15,blank,,0.9159,1,2.2,5.6,0.89,0.357,4.0.3a,hits/nossob/20260831/181758_p15_blob6.jpg
2026-08-31 18:48:17,2026-08-31 20:48:17,nossob,night,14,hits,3,0.023,0,0.15,blank,,0.9269,2,2.2,3.3,0.239,0.573,4.0.3a,hits/nossob/20260831/184817_p14_blob3.jpg
2026-08-31 18:57:57,2026-08-31 20:57:57,nossob,night,13,hits,7,0.1204,0,0.15,blank,,0.9677,6,10.0,6.1,0.948,0.426,4.0.3a,hits/nossob/20260831/185757_p13_blob7.jpg
2026-08-31 18:58:09,2026-08-31 20:58:09,nossob,night,8,hits,4,0.0,0,0.15,blank,,0.7765,0,,,,,4.0.3a,hits/nossob/20260831/185809_p8_blob4.jpg
2026-08-31 19:01:19,2026-08-31 21:01:19,nossob,night,8,hits,4,0.0,0,0.15,blank,,0.8867,0,,,,,4.0.3a,hits/nossob/20260831/190119_p8_blob4.jpg
2026-08-31 19:24:13,2026-08-31 21:24:13,nossob,night,13,hits,3,0.0339,0,0.15,blank,,0.8683,4,4.1,2.5,0.348,0.406,4.0.3a,hits/nossob/20260831/192413_p13_blob3.jpg
2026-08-31 19:27:10,2026-08-31 21:27:10,nossob,night,13,hits,3,0.0436,0,0.15,blank,,0.8232,5,10.6,3.7,0.316,0.419,4.0.3a,hits/nossob/20260831/192710_p13_blob3.jpg
2026-08-31 19:36:35,2026-08-31 21:36:35,nossob,night,8,hits,3,0.0,0,0.15,blank,,0.8344,0,,,,,4.0.3a,hits/nossob/20260831/193635_p8_blob3.jpg
2026-08-31 19:39:00,2026-08-31 21:39:00,nossob,night,13,hits,13,0.0512,0,0.15,blank,,0.8846,3,10.4,3.5,0.315,0.417,4.0.3a,hits/nossob/20260831/193900_p13_blob13.jpg
2026-08-31 19:39:12,2026-08-31 21:39:12,nossob,night,8,hits,3,0.0,0,0.15,blank,,0.803,0,,,,,4.0.3a,hits/nossob/20260831/193912_p8_blob3.jpg
