utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-03 00:37:12,"Thu, 03 Sep 2026 00:37:06 GMT",8,324,0.5,night,75.5,76,1,0,1,1,1.0,1.0,0.0,0.896,0.981,76,0.0,0.121,1,1,0,0,0,138700
2026-09-03 00:38:01,"Thu, 03 Sep 2026 00:37:51 GMT",15,319,0.4,night,71.5,56,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,127498
2026-09-03 00:39:00,"Thu, 03 Sep 2026 00:38:49 GMT",14,433,1.9,night,59.5,528,19,10,13,2,0.73,0.44,0.44,0.416,0.565,236,0.0,0.323,4,43,0,23,0,76833
2026-09-03 00:39:12,"Thu, 03 Sep 2026 00:39:04 GMT",14,434,1.3,night,59.1,140,10,1,7,2,0.71,0.91,1.0,0.418,0.569,245,0.0,0.385,2,11,0,10,0,74672
2026-09-03 00:39:59,"Thu, 03 Sep 2026 00:39:50 GMT",13,298,1.2,night,47.4,92,1,1,1,1,1.0,0.5,0.0,0.177,0.426,110,0.0,0.224,2,2,0,1,0,104366
2026-09-03 00:40:11,"Thu, 03 Sep 2026 00:40:05 GMT",8,325,0.5,night,74.3,50,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,136622
2026-09-03 00:40:59,"Thu, 03 Sep 2026 00:40:50 GMT",15,320,0.5,night,72.9,66,1,0,1,1,1.0,1.0,0.0,0.677,0.981,140,0.0,0.101,1,1,0,0,0,131495
2026-09-03 00:41:11,"Thu, 03 Sep 2026 00:41:05 GMT",15,321,0.4,night,72.9,71,1,1,1,1,1.0,0.5,0.0,0.76,0.944,165,0.0,0.06,2,2,0,0,0,131393
2026-09-03 00:51:36,"Thu, 03 Sep 2026 00:51:03 GMT",14,435,1.2,night,59.4,231,10,6,7,3,0.48,0.62,0.62,0.873,0.017,108,0.0,0.06,2,16,0,0,1,76202
2026-09-03 00:52:00,"Thu, 03 Sep 2026 00:51:51 GMT",8,326,0.4,night,76.0,12,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,136979
2026-09-03 00:52:12,"Thu, 03 Sep 2026 00:52:05 GMT",12,295,3.1,night,62.3,452,8,2,5,5,0.32,0.5,1.0,0.464,0.912,168,0.0,0.174,8,16,0,1,0,120211
2026-09-03 00:53:00,"Thu, 03 Sep 2026 00:52:50 GMT",15,322,0.3,night,73.0,51,1,0,1,1,1.0,1.0,0.0,0.542,0.444,100,0.0,0.141,1,1,0,0,0,131182
2026-09-03 00:53:12,"Thu, 03 Sep 2026 00:53:04 GMT",11,295,0.5,night,25.2,40,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,75117
2026-09-03 00:53:59,"Thu, 03 Sep 2026 00:53:49 GMT",14,436,1.1,night,60.9,18,1,0,1,1,1.0,1.0,0.0,0.469,0.574,155,0.0,0.29,1,1,0,0,0,76139
2026-09-03 00:54:10,"Thu, 03 Sep 2026 00:54:05 GMT",16,26,5.0,night,41.7,3874,58,23,19,7,0.44,0.33,0.34,0.088,0.415,217,0.0,0.462,17,175,93,221,0,76283
2026-09-03 00:54:57,"Thu, 03 Sep 2026 00:54:50 GMT",8,327,0.4,night,76.3,87,2,1,1,2,1.0,0.5,0.0,0.865,0.935,128,0.0,0.069,3,4,0,0,0,137690
2026-09-03 00:55:09,"Thu, 03 Sep 2026 00:55:06 GMT",12,296,0.9,night,72.5,364,1,1,1,1,1.0,0.14,0.0,0.312,0.87,170,0.0,0.071,7,7,0,1,0,141212
2026-09-03 00:56:09,"Thu, 03 Sep 2026 00:56:04 GMT",11,296,0.3,night,25.6,29,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,76134
2026-09-03 00:56:56,"Thu, 03 Sep 2026 00:56:49 GMT",14,437,0.7,night,59.6,97,7,0,3,3,0.78,1.0,1.0,0.982,0.463,128,0.0,0.085,1,7,0,0,1,76132
2026-09-03 00:57:07,"Thu, 03 Sep 2026 00:57:05 GMT",18,35,1.8,night,57.9,339,4,1,2,3,0.67,0.44,1.0,0.609,0.833,154,0.0,0.18,6,9,0,0,0,116867
2026-09-03 00:57:55,"Thu, 03 Sep 2026 00:57:50 GMT",8,328,0.4,night,76.3,92,1,0,1,1,1.0,1.0,0.0,0.875,0.926,126,0.0,0.094,1,1,0,0,0,138194
2026-09-03 00:58:07,"Thu, 03 Sep 2026 00:58:05 GMT",12,297,1.0,night,74.0,466,2,2,1,2,1.0,0.15,0.0,0.292,0.861,181,0.0,0.201,10,13,0,1,0,143261
2026-09-03 00:58:19,"Thu, 03 Sep 2026 00:58:05 GMT",12,298,0.7,night,74.0,173,1,1,1,1,1.0,0.33,0.0,0.385,0.889,172,0.0,0.28,3,3,0,1,0,143261
2026-09-03 00:59:07,"Thu, 03 Sep 2026 00:59:05 GMT",11,297,0.3,night,25.6,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,76060
2026-09-03 00:59:54,"Thu, 03 Sep 2026 00:59:50 GMT",14,438,1.0,night,58.6,181,10,4,4,4,0.62,0.71,0.71,0.979,0.513,140,0.0,0.099,2,14,0,0,1,78104
2026-09-03 01:00:17,"Thu, 03 Sep 2026 01:00:06 GMT",13,299,0.8,night,47.3,28,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,106034
2026-09-03 01:07:37,"Thu, 03 Sep 2026 01:07:06 GMT",12,299,0.4,night,72.9,436,4,3,3,4,0.33,0.29,0.57,0.315,0.935,163,0.0,0.215,9,14,0,3,0,141696
2026-09-03 01:08:01,"Thu, 03 Sep 2026 01:07:50 GMT",11,298,0.3,night,25.3,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,75348
2026-09-03 01:08:12,"Thu, 03 Sep 2026 01:08:04 GMT",11,299,10.2,night,21.8,8675,552,17,76,11,0.66,0.9,0.92,0.338,0.646,241,0.0,0.075,15,613,0,0,0,50955
2026-09-03 01:08:59,"Thu, 03 Sep 2026 01:08:50 GMT",13,300,0.6,night,47.4,162,3,1,3,3,0.33,0.5,1.0,0.271,0.704,99,0.0,0.266,4,6,0,1,0,101532
2026-09-03 01:09:11,"Thu, 03 Sep 2026 01:09:04 GMT",13,301,0.5,night,47.5,26,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,104163
2026-09-03 01:09:58,"Thu, 03 Sep 2026 01:09:51 GMT",12,300,0.7,night,74.4,384,2,2,1,2,1.0,0.18,0.0,0.302,0.88,181,0.0,0.162,8,11,0,2,0,143379
2026-09-03 01:10:10,"Thu, 03 Sep 2026 01:10:05 GMT",12,301,0.5,night,74.4,381,2,2,2,2,0.5,0.2,0.0,0.297,0.88,171,0.0,0.243,8,10,0,1,0,143194
2026-09-03 01:10:57,"Thu, 03 Sep 2026 01:10:48 GMT",11,300,3.0,night,25.4,2648,149,22,32,9,0.52,0.85,0.87,0.309,0.68,248,0.0,0.135,5,176,0,0,0,75184
2026-09-03 01:11:09,"Thu, 03 Sep 2026 01:11:04 GMT",14,439,0.7,night,58.6,199,14,0,5,4,0.7,1.0,1.0,0.972,0.419,146,0.0,0.073,1,14,0,0,1,73881
2026-09-03 01:11:55,"Thu, 03 Sep 2026 01:11:50 GMT",13,302,0.8,night,46.1,373,4,3,2,4,0.5,0.27,0.57,0.276,0.713,128,0.0,0.201,8,15,0,0,0,100904
2026-09-03 01:12:07,"Thu, 03 Sep 2026 01:12:05 GMT",13,303,0.5,night,46.2,97,1,0,1,1,1.0,1.0,0.0,0.26,0.722,88,0.0,0.365,1,1,0,1,0,101711
2026-09-03 01:12:55,"Thu, 03 Sep 2026 01:12:50 GMT",12,302,0.5,night,74.5,433,2,2,1,2,1.0,0.12,0.0,0.573,0.509,110,0.0,0.098,12,16,0,1,0,143127
2026-09-03 01:13:19,"Thu, 03 Sep 2026 01:13:06 GMT",15,323,0.6,night,73.8,207,3,2,2,2,0.75,0.27,1.0,0.517,0.451,124,0.0,0.166,8,11,0,0,0,131947
2026-09-03 01:13:54,"Thu, 03 Sep 2026 01:13:49 GMT",11,301,2.3,night,25.5,1475,84,8,30,5,0.56,0.84,0.86,0.291,0.703,253,0.02,0.183,4,100,0,0,0,75327
2026-09-03 01:14:17,"Thu, 03 Sep 2026 01:14:05 GMT",14,440,0.6,night,59.9,12,1,0,1,1,1.0,1.0,0.0,0.969,0.426,37,0.0,0.126,1,1,0,0,0,75149
2026-09-03 01:14:52,"Thu, 03 Sep 2026 01:14:50 GMT",13,304,0.9,night,48.4,89,1,1,1,1,1.0,0.5,0.0,0.281,0.722,146,0.0,0.101,2,2,0,0,0,102449
2026-09-03 01:15:16,"Thu, 03 Sep 2026 01:15:05 GMT",8,329,5.2,night,71.3,8400,51,48,23,8,0.28,0.09,0.11,0.739,0.379,138,0.0,0.06,90,542,0,0,0,105012
2026-09-03 01:16:03,"Thu, 03 Sep 2026 01:15:51 GMT",12,303,0.4,night,73.2,358,2,2,2,2,0.5,0.22,0.0,0.484,0.917,171,0.0,0.165,7,9,0,0,0,141914
2026-09-03 01:29:56,"Thu, 03 Sep 2026 01:29:50 GMT",8,330,1.6,night,75.6,435,7,3,5,2,0.7,0.37,0.54,0.751,0.532,162,0.0,0.116,8,19,0,0,0,137901
