utc,last_modified,preset,n,dist,mode,bright,px,blob,bw,bh,fill,dom,nblobs,blocks,vetoed,hit,bytes
2026-08-30 15:28:03,"Sun, 30 Aug 2026 15:27:52 GMT",1,2,2.4,day,131.1,1842,32,12,4,0.67,0.31,24,104,0,0,208890
2026-08-30 15:29:03,"Sun, 30 Aug 2026 15:28:52 GMT",2,2,2.2,day,141.4,4212,87,22,10,0.4,0.29,32,303,0,0,301633
2026-08-30 15:29:15,"Sun, 30 Aug 2026 15:29:08 GMT",2,3,2.1,day,141.2,4046,120,23,10,0.52,0.42,27,289,0,0,305253
2026-08-30 15:29:56,"Sun, 30 Aug 2026 15:29:51 GMT",0,3,2.0,day,129.4,299,8,5,2,0.8,0.5,7,16,0,0,260890
2026-08-30 15:30:20,"Sun, 30 Aug 2026 15:30:07 GMT",0,4,1.5,day,129.1,242,7,5,2,0.7,0.58,6,12,0,0,261488
2026-08-30 15:30:56,"Sun, 30 Aug 2026 15:30:52 GMT",3,2,0.9,day,145.7,491,13,7,4,0.46,0.38,12,34,0,0,286281
2026-08-30 15:31:20,"Sun, 30 Aug 2026 15:31:08 GMT",3,3,0.6,day,143.3,417,7,3,4,0.58,0.27,12,26,0,0,300909
2026-08-30 15:31:57,"Sun, 30 Aug 2026 15:31:53 GMT",2,4,1.7,day,145.0,2810,48,12,7,0.57,0.22,17,214,0,1,301588
2026-08-30 15:32:09,"Sun, 30 Aug 2026 15:32:07 GMT",2,5,1.6,day,144.9,2462,77,15,12,0.43,0.4,16,193,0,1,298536
2026-08-30 15:32:21,"Sun, 30 Aug 2026 15:32:07 GMT",2,6,1.1,day,144.9,1644,31,11,8,0.35,0.26,28,121,0,0,298536
2026-08-30 15:37:23,"Sun, 30 Aug 2026 15:37:06 GMT",3,4,1.5,day,136.8,462,4,3,2,0.67,0.17,14,24,0,0,296015
2026-08-30 15:37:59,"Sun, 30 Aug 2026 15:37:53 GMT",2,7,2.7,day,135.9,2698,62,18,8,0.43,0.32,27,193,0,1,299263
2026-08-30 15:38:59,"Sun, 30 Aug 2026 15:38:51 GMT",0,5,3.6,day,122.3,491,5,5,2,0.5,0.23,10,22,0,0,261671
2026-08-30 15:39:11,"Sun, 30 Aug 2026 15:39:06 GMT",1,3,5.3,day,122.8,2011,82,23,8,0.45,0.53,12,154,0,0,230073
2026-08-30 15:40:00,"Sun, 30 Aug 2026 15:39:53 GMT",3,5,1.7,day,133.1,1095,30,13,4,0.58,0.32,18,95,0,0,295301
2026-08-30 15:40:12,"Sun, 30 Aug 2026 15:40:07 GMT",2,8,10.1,day,138.4,36782,2847,96,54,0.55,0.92,47,3097,0,0,301998
2026-08-30 15:41:00,"Sun, 30 Aug 2026 15:40:52 GMT",2,9,4.3,day,134.2,6190,316,57,19,0.29,0.75,17,419,0,0,299976
2026-08-30 15:41:12,"Sun, 30 Aug 2026 15:41:08 GMT",4,2,2.0,day,128.6,3138,95,27,7,0.5,0.43,25,223,0,0,303647
2026-08-30 15:46:46,"Sun, 30 Aug 2026 15:46:09 GMT",2,10,9.2,day,143.7,30283,2068,96,44,0.49,0.87,96,2389,0,0,304238
2026-08-30 15:47:10,"Sun, 30 Aug 2026 15:47:07 GMT",4,3,3.1,day,133.4,3341,155,31,15,0.33,0.58,17,268,0,0,306449
2026-08-30 15:47:59,"Sun, 30 Aug 2026 15:47:52 GMT",1,4,2.7,day,126.4,1146,48,11,7,0.62,0.61,4,79,0,1,232587
2026-08-30 15:48:11,"Sun, 30 Aug 2026 15:48:07 GMT",1,5,2.0,day,129.2,271,11,7,3,0.52,0.61,3,18,0,0,235048
2026-08-30 15:50:00,"Sun, 30 Aug 2026 15:49:52 GMT",4,4,3.3,day,132.4,2528,19,6,8,0.4,0.12,30,157,0,0,300071
2026-08-30 15:50:12,"Sun, 30 Aug 2026 15:50:07 GMT",4,5,2.5,day,132.5,2618,30,12,8,0.31,0.16,35,185,0,0,302729
2026-08-30 15:51:01,"Sun, 30 Aug 2026 15:50:51 GMT",1,6,2.9,day,134.7,98,2,2,1,1.0,0.67,2,3,0,0,238527
2026-08-30 15:51:13,"Sun, 30 Aug 2026 15:51:06 GMT",1,7,2.3,day,134.3,51,0,1,1,0.0,0.0,0,0,0,0,238364
2026-08-30 15:55:43,"Sun, 30 Aug 2026 15:54:53 GMT",2,11,7.0,day,142.2,19528,566,96,16,0.37,0.43,151,1308,0,0,300100
2026-08-30 15:55:55,"Sun, 30 Aug 2026 15:55:52 GMT",4,6,2.0,day,133.1,2185,25,10,7,0.36,0.17,33,149,0,0,302030
2026-08-30 15:56:21,"Sun, 30 Aug 2026 15:56:07 GMT",0,6,1.3,day,120.3,473,3,2,3,0.5,0.17,16,18,0,0,243603
2026-08-30 15:56:59,"Sun, 30 Aug 2026 15:56:52 GMT",1,8,2.3,day,127.2,534,18,14,2,0.64,0.5,5,36,0,0,234629
2026-08-30 15:57:12,"Sun, 30 Aug 2026 15:57:07 GMT",1,9,1.8,day,126.4,132,4,4,1,1.0,0.57,4,7,0,0,234678
2026-08-30 15:58:03,"Sun, 30 Aug 2026 15:57:52 GMT",2,12,4.9,day,140.8,12101,313,80,15,0.26,0.41,107,766,0,0,302128
2026-08-30 15:58:15,"Sun, 30 Aug 2026 15:58:06 GMT",2,13,9.2,day,132.2,19895,628,92,17,0.4,0.45,126,1410,0,0,233028
2026-08-30 15:59:06,"Sun, 30 Aug 2026 15:58:53 GMT",4,7,2.0,day,131.3,1783,13,7,5,0.37,0.13,30,98,0,0,305794
2026-08-30 15:59:18,"Sun, 30 Aug 2026 15:59:07 GMT",0,7,1.8,day,122.5,179,2,2,1,1.0,0.5,3,4,0,0,245863
2026-08-30 15:59:56,"Sun, 30 Aug 2026 15:59:52 GMT",1,10,2.4,day,123.5,89,1,1,1,1.0,0.5,2,2,0,0,234214
2026-08-30 16:04:57,"Sun, 30 Aug 2026 16:04:51 GMT",0,8,2.9,night,141.2,145,1,1,1,1.0,0.5,2,2,0,0,216563
2026-08-30 16:05:09,"Sun, 30 Aug 2026 16:05:07 GMT",0,9,2.3,night,122.1,56,0,1,1,0.0,0.0,0,0,0,0,245690
2026-08-30 16:05:58,"Sun, 30 Aug 2026 16:05:51 GMT",1,11,2.2,night,121.6,163,7,6,2,0.58,0.7,4,10,0,0,232767
2026-08-30 16:06:11,"Sun, 30 Aug 2026 16:06:07 GMT",3,6,1.8,night,138.0,2526,34,17,5,0.4,0.23,36,146,0,0,295458
2026-08-30 16:07:12,"Sun, 30 Aug 2026 16:07:07 GMT",2,14,5.7,night,130.1,12828,263,43,15,0.41,0.31,109,857,0,0,274028
2026-08-30 16:08:01,"Sun, 30 Aug 2026 16:07:52 GMT",0,10,1.6,night,120.4,63,2,2,2,0.5,1.0,1,2,0,0,246388
2026-08-30 16:08:13,"Sun, 30 Aug 2026 16:08:07 GMT",0,11,1.2,night,119.2,49,0,1,1,0.0,0.0,0,0,0,0,245592
2026-08-30 16:14:17,"Sun, 30 Aug 2026 16:14:05 GMT",1,12,3.3,night,112.0,1438,82,22,8,0.47,0.77,8,106,0,0,212004
2026-08-30 16:14:53,"Sun, 30 Aug 2026 16:14:52 GMT",3,7,3.2,night,118.5,3066,106,32,5,0.66,0.57,25,185,0,1,265446
