utc,last_modified,preset,n,dist,mode,bright,px,blob,blob2,bw,bh,fill,dom,dom2,cx,cy,bpk,bsat,bact,nblobs,blocks,vetoed,veto30,hit,bytes
2026-09-02 00:33:13,"Wed, 02 Sep 2026 00:33:06 GMT",8,206,0.7,night,74.0,99,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,145480
2026-09-02 00:34:01,"Wed, 02 Sep 2026 00:33:50 GMT",15,192,0.3,night,71.1,51,1,0,1,1,1.0,1.0,0.0,0.01,0.537,123,0.0,0.06,1,1,0,0,0,136958
2026-09-02 00:34:13,"Wed, 02 Sep 2026 00:34:06 GMT",15,193,0.6,night,71.3,460,18,16,4,7,0.64,0.53,0.53,0.211,0.447,255,0.06,0.06,2,34,0,0,1,137123
2026-09-02 00:35:00,"Wed, 02 Sep 2026 00:34:50 GMT",14,276,0.2,night,61.3,10,1,0,1,1,1.0,1.0,0.0,0.281,0.593,252,1.0,0.177,1,1,0,0,0,78064
2026-09-02 00:35:12,"Wed, 02 Sep 2026 00:35:04 GMT",14,277,0.2,night,61.2,9,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,78188
2026-09-02 00:36:11,"Wed, 02 Sep 2026 00:36:06 GMT",8,207,0.6,night,73.8,71,1,0,1,1,1.0,1.0,0.0,0.865,0.889,136,0.0,0.113,1,1,0,0,0,145334
2026-09-02 00:36:58,"Wed, 02 Sep 2026 00:36:50 GMT",15,194,0.5,night,72.3,37,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,138054
2026-09-02 00:37:10,"Wed, 02 Sep 2026 00:37:05 GMT",17,11,3.8,night,46.7,3147,155,29,33,8,0.59,0.75,0.81,0.131,0.421,155,0.0,0.339,15,208,0,135,0,102019
2026-09-02 00:48:27,"Wed, 02 Sep 2026 00:48:07 GMT",12,186,1.5,night,70.3,906,15,13,4,7,0.54,0.33,0.48,0.744,0.393,255,0.07,0.08,16,46,0,0,0,148069
2026-09-02 00:48:51,"Wed, 02 Sep 2026 00:48:50 GMT",11,189,1.0,night,22.9,23,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,66156
2026-09-02 00:49:03,"Wed, 02 Sep 2026 00:48:50 GMT",11,190,0.7,night,22.9,7,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,66156
2026-09-02 00:49:15,"Wed, 02 Sep 2026 00:49:05 GMT",11,191,0.4,night,25.2,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,80372
2026-09-02 00:49:52,"Wed, 02 Sep 2026 00:49:50 GMT",14,278,0.3,night,62.3,3,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,79442
2026-09-02 00:50:04,"Wed, 02 Sep 2026 00:49:50 GMT",14,279,0.2,night,62.3,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,79442
2026-09-02 00:50:16,"Wed, 02 Sep 2026 00:50:06 GMT",13,191,0.7,night,46.7,36,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,111509
2026-09-02 00:50:53,"Wed, 02 Sep 2026 00:50:51 GMT",8,208,0.6,night,74.7,191,5,3,2,4,0.62,0.56,0.62,0.6,0.956,168,0.0,0.105,3,9,0,0,0,146473
2026-09-02 00:51:17,"Wed, 02 Sep 2026 00:51:06 GMT",12,187,1.0,night,71.3,497,4,2,2,4,0.5,0.4,1.0,0.255,0.88,173,0.0,0.149,5,10,0,0,0,148689
2026-09-02 00:51:54,"Wed, 02 Sep 2026 00:51:49 GMT",11,192,0.8,night,22.4,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,65561
2026-09-02 00:52:06,"Wed, 02 Sep 2026 00:52:04 GMT",11,193,0.6,night,22.4,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,65720
2026-09-02 00:52:18,"Wed, 02 Sep 2026 00:52:04 GMT",11,194,0.4,night,22.4,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,65720
2026-09-02 00:52:54,"Wed, 02 Sep 2026 00:52:50 GMT",16,16,8.0,night,43.2,6896,273,134,62,9,0.49,0.54,0.56,0.258,0.433,252,0.01,0.356,22,502,4,195,0,78386
