utc,sast,cam,mode,preset,source,logged_blob,md_animal_conf,keep,keep_conf,prediction_common,prediction_class,prediction_score,n_detections,md_bw_blocks,md_bh_blocks,md_cx,md_cy,model_version,path
2026-09-09 04:00:04,2026-09-09 06:00:04,satara,day,130,hits,112,0.037,0,0.3,blank,,0.996,6,2.4,1.7,0.045,0.616,4.0.3a,hits/satara/20260909/040004_p130_blob112.jpg
2026-09-09 04:00:54,2026-09-09 06:00:54,satara,day,29,hits,189,0.1647,0,0.3,blank,,0.9991,5,1.9,1.9,0.602,0.493,4.0.3a,hits/satara/20260909/040054_p29_blob189.jpg
2026-09-09 04:01:18,2026-09-09 06:01:18,satara,day,29,hits,129,0.0527,0,0.3,blank,,0.9996,5,0.7,0.7,0.656,0.558,4.0.3a,hits/satara/20260909/040118_p29_blob129.jpg
2026-09-09 04:01:53,2026-09-09 06:01:53,satara,day,22,hits,132,0.1516,0,0.3,blank,,0.9992,3,2.2,1.7,0.947,0.198,4.0.3a,hits/satara/20260909/040153_p22_blob132.jpg
2026-09-09 04:07:55,2026-09-09 06:07:55,satara,day,130,hits,94,0.0553,0,0.3,blank,,0.9998,4,1.0,1.1,0.539,0.309,4.0.3a,hits/satara/20260909/040755_p130_blob94.jpg
2026-09-09 04:08:54,2026-09-09 06:08:54,satara,day,29,hits,228,0.034,0,0.3,blank,,0.9994,3,1.9,1.8,0.603,0.493,4.0.3a,hits/satara/20260909/040854_p29_blob228.jpg
2026-09-09 04:09:18,2026-09-09 06:09:18,satara,day,22,hits,94,0.0922,0,0.3,blank,,0.9991,1,2.2,1.7,0.947,0.198,4.0.3a,hits/satara/20260909/040918_p22_blob94.jpg
2026-09-09 04:12:01,2026-09-09 06:12:01,satara,day,130,hits,112,0.1798,0,0.3,blank,,0.9999,4,0.9,1.0,0.539,0.308,4.0.3a,hits/satara/20260909/041201_p130_blob112.jpg
2026-09-09 04:15:55,2026-09-09 06:15:55,satara,day,29,hits,275,0.011,0,0.3,blank,,0.9999,1,0.8,0.8,0.656,0.557,4.0.3a,hits/satara/20260909/041555_p29_blob275.jpg
2026-09-09 04:16:07,2026-09-09 06:16:07,satara,day,29,hits,226,0.0269,0,0.3,blank,,0.9999,4,0.9,0.7,0.656,0.558,4.0.3a,hits/satara/20260909/041607_p29_blob226.jpg
2026-09-09 04:16:18,2026-09-09 06:16:18,satara,day,29,hits,175,0.0269,0,0.3,blank,,0.9999,4,0.9,0.7,0.656,0.558,4.0.3a,hits/satara/20260909/041618_p29_blob175.jpg
2026-09-09 04:28:55,2026-09-09 06:28:55,satara,day,53,hits,63,0.1283,0,0.3,blank,,0.9998,1,0.7,1.5,0.118,0.601,4.0.3a,hits/satara/20260909/042855_p53_blob63.jpg
2026-09-09 04:30:53,2026-09-09 06:30:53,satara,day,130,hits,156,0.0714,0,0.3,blank,,0.9999,4,1.0,1.2,0.539,0.308,4.0.3a,hits/satara/20260909/043053_p130_blob156.jpg
2026-09-09 04:31:17,2026-09-09 06:31:17,satara,day,29,hits,426,0.0705,0,0.3,blank,,0.9996,4,2.2,1.4,0.624,0.583,4.0.3a,hits/satara/20260909/043117_p29_blob426.jpg
2026-09-09 04:31:52,2026-09-09 06:31:52,satara,day,22,hits,285,0.2958,0,0.3,blank,,0.999,2,2.1,1.7,0.947,0.198,4.0.3a,hits/satara/20260909/043152_p22_blob285.jpg
2026-09-09 04:32:03,2026-09-09 06:32:03,satara,day,22,hits,210,0.2958,0,0.3,blank,,0.999,2,2.1,1.7,0.947,0.198,4.0.3a,hits/satara/20260909/043203_p22_blob210.jpg
2026-09-09 04:32:15,2026-09-09 06:32:15,satara,day,22,hits,165,0.3237,1,0.3,blank,,0.999,2,2.2,1.7,0.946,0.198,4.0.3a,hits/satara/20260909/043215_p22_blob165.jpg
